tipo	color	Titulo grande	copete	texto	variables	diccionario
header	azul	¡HOY EN LA FUTCON! [fecha]	¡FULBO SUPERESTRELLA!	Jugador del día	[random]	[random] jugador random de ambos equipos
hero	rojo	CORBATA GRANDE	NO HUBO DIFERENCIA EN LOS GOLES	Encuentro incómodo. "Fue aburrido", declaró [randomly] después de quedarse dormido y babear frente a la cámara.	played_difGoles=0	[equipo] tu equipo
hero	rojo	ATAR 	NADIE GANA; NADIE PIERDE	¿Sabías que este partido entró en la clasificación de los partidos más aburridos jamás retransmitidos?	played_difGoles=0	[equipo] tu equipo
hero	rojo	¡TODOS ESTÁN DESPEDIDOS!	CORBATA DEL AÑO	Los aficionados destrozaron el campo. La policía tuvo que dispersarlos, pero acabó sumándose a la protesta. No se registraron incidentes.	played_difGoles=0	[equipo] tu equipo
hero	rojo	¡GANA, POR FAVOR!	NECESITAMOS UNA VICTORIA	Si encuentras la victoria que buscamos, contáctanos llamando al 0800 - FULBO.	played_difGoles=0	[equipo] tu equipo
hero	rojo	DIOS MÍO	EMPATE Y FINAL	Los jugadores escaparon al autobús del equipo. Les arrojaron tomates, plátanos podridos y monedas sin circular de la década de 1950.	played_difGoles=0	[equipo] tu equipo
hero	rojo	ATAR...	LOS JUGADORES QUIEREN ABANDONAR EL EQUIPO	Circulan rumores de que algunos jugadores del equipo quieren ser personajes de otro videojuego. Preferirían formar parte de un juego de acción y disparos o de un juego de cocina.	played_difGoles=0	[equipo] tu equipo
hero	rojo	QUEREMOS GANAR	POR FAVOR...	El equipo se esforzó mucho, pero no pudo ganar. Pidieron que el empate se resolviera con un concurso de comer perritos calientes, pero su petición fue denegada.	played_difGoles=0	[equipo] tu equipo
hero	verde	[result]. UNA VICTORIA...	LUJO	"Gracias a Dios pude marcar el gol", declaró [goleador_team1].	played_difGoles=1	[team1] y [team2]
hero	verde	[result]. EL EQUIPO PODRÍA HABER HECHO MÁS.	LENTO	Los jugadores abandonaron el partido saludando discretamente al público.	played_difGoles=1	[team1] y [team2]
hero	verde	[result]. ¡Valió la pena!	UNA VICTORIA ES UNA VICTORIA	"Si mis estadísticas mejoraran, podría jugar aún mejor", declaró [goleador_team1], goleador.	played_difGoles=1	[team1] y [team2]
hero	verde	[result]. UN GOL Y UNA VICTORIA	ÉXITO	El director técnico aseguró que van por el buen camino.	played_difGoles=1	[team1] y [team2]
hero	verde	[result]. TUVISTE OPORTUNIDADES.	AVANZANDO	El equipo rival informó que ganaste porque los aficionados lanzaron plátanos pelados y cebollas.	played_difGoles=1	[team1] y [team2]
hero	verde	[result]. SE CELEBRÓ DEMASIADO.	DEMASIADA ALEGRÍA	Organizaste una fiesta de karaoke después del partido. "Quiero hacer feliz a la gente", dijo [goleador_team1], el máximo goleador del partido y un buen imitador de Frank Sinatra.	played_difGoles=1	[team1] y [team2]
hero	verde	[result]. UN PARTIDO PARA OLVIDAR PERO EFECTIVO.	TENEMOS QUE GANAR	El equipo perdedor afirmó que su portero recibió una mirada malévola que le provocó náuseas y dolor de cabeza.	played_difGoles=1	[team1] y [team2]
hero	verde	[result]. LIGERAMENTE MEJOR.	¡TOMA ESO!	Los mapas de calor de los jugadores indican que el equipo se movió menos que un grupo de jubilados jugando al tejo en una residencia de ancianos.	played_difGoles=1	[team1] y [team2]
hero	verde	[result]. BUEN PARTIDO.	AFORTUNADO	Los oponentes denunciaron irregularidades, pero fueron derrotados por tu equipo, que se rió de ellos y les sacó la lengua.	played_difGoles=1	[team1] y [team2]
hero	verde	[result]. HICISTE LO QUE TENÍAS QUE HACER.	EXCELENCIA	"¡Esto es fútbol!", gritó el entrenador del equipo desde el vestuario mientras sus jugadores esperaban a que se calentara el agua de las duchas.	played_difGoles=1	[team1] y [team2]
hero	verde	[result]. ¡GANAMOS POR 2 GOLES!	CELEBREMOS	"Fue como un vals", declaró [goleador_team1], quien marcó un gran gol.	played_difGoles=2	[team1] y [team2]
hero	verde	[result]. VICTORIA.	FIESTA	Los futbolistas regresaron a casa en autobús celebrando. Los coches de los aficionados los seguían, tocando la bocina y gritando de alegría.	played_difGoles=2	[team1] y [team2]
hero	verde	[result].Victoria fácil	CALIDAD SUPERIOR	[goleador_team1], autor de un golazo, lloró ante las cámaras y dedicó el partido a su madre, que le esperaba cada tarde con chocolate caliente y gofres.	played_difGoles=2	[team1] y [team2]
